Failas	Tema	Straipsnio_pavadinimas	Publikavimo_data	Nuoroda	Žodžių_skaičius
LRT_UKR_001	Karas Ukrainoje	Buvęs JAV ambasadorius Rusijoje: mažai tikėtina, kad Putinas užpuls NATO narę, bet jis mus išbandys	2024.01.14 	https://www.lrt.lt/naujienos/pasaulyje/6/2170599/buves-jav-ambasadorius-rusijoje-mazai-tiketina-kad-putinas-uzpuls-nato-nare-bet-jis-mus-isbandys	1882
LRT_UKR_002	Karas Ukrainoje	Rusijoje už esą terorizmo teisinimą areštuotas kraštutinių dešiniųjų lyderis	2024.01.11	https://www.lrt.lt/naujienos/pasaulyje/6/2168898/rusijoje-uz-esa-terorizmo-teisinima-arestuotas-krastutiniu-desiniuju-lyderis	171
LRT_UKR_003	Karas Ukrainoje	Karo Ukrainoje realybės Kaune pamiršti negalėjęs Šmuratko: tai yra visiškai kitas pasaulis	2024.01.11	https://www.lrt.lt/naujienos/sportas/10/2168280/karo-ukrainoje-realybes-kaune-pamirsti-negalejes-smuratko-tai-yra-visiskai-kitas-pasaulis	471
LRT_UKR_004	Karas Ukrainoje	Rusijos karas prieš Ukrainą. Zelenskis pripažįsta – nėra plačių žingsnių į priekį, nes rusai kontroliuoja dangų	2024.01.11	https://www.lrt.lt/naujienos/pasaulyje/6/2168380/rusijos-karas-pries-ukraina-zelenskis-pripazista-nera-placiu-zingsniu-i-prieki-nes-rusai-kontroliuoja-dangu	757
LRT_UKR_005	Karas Ukrainoje	Rusų kariai vežami tūkstančiais – ukrainiečiai ruošiasi dar vieneriems karo metams	2024.01.10	https://www.lrt.lt/naujienos/pasaulyje/6/2165797/rusu-kariai-vezami-tukstanciais-ukrainieciai-ruosiasi-dar-vieneriems-karo-metams	1003
LRT_UKR_006	Karas Ukrainoje	Zelenskis Vilniuje susitiko su tautiečiais: padarysime viską, kad grįžtumėte namo	2024.01.10	https://www.lrt.lt/naujienos/lietuvoje/2/2168292/zelenskis-vilniuje-susitiko-su-tautieciais-padarysime-viska-kad-griztumete-namo	467
LRT_UKR_007	Karas Ukrainoje	Su Zelenskiu susitikusi Šimonytė: už tai, kad patys nepatiriame karo baisumų, esame skolingi ukrainiečiams	2024.01.10	https://www.lrt.lt/naujienos/lietuvoje/2/2168273/su-zelenskiu-susitikusi-simonyte-uz-tai-kad-patys-nepatiriame-karo-baisumu-esame-skolingi-ukrainieciams	453
LRT_UKR_008	Karas Ukrainoje	Rusijos karas prieš Ukrainą. Davose viešintis Jermakas: arba mes pralaimime ir išnyksime, arba laimėsime ir gyvensime toliau	2024.01.14	https://www.lrt.lt/naujienos/pasaulyje/6/2170386/rusijos-karas-pries-ukraina-davose-viesintis-jermakas-arba-mes-pralaimime-ir-isnyksime-arba-laimesime-ir-gyvensime-toliau	326
LRT_UKR_009	Karas Ukrainoje	Per didžiulį kibernetinį išpuolį Ukrainoje neveikė perspėjimai dėl oro pavojaus, kilo trikdžių atsiskaitant	2024.01.09	https://www.lrt.lt/naujienos/pasaulyje/6/2164233/per-didziuli-kibernetini-ispuoli-ukrainoje-neveike-perspejimai-del-oro-pavojaus-kilo-trikdziu-atsiskaitant	361
LRT_UKR_010	Karas Ukrainoje	Hodgesas: turime pasiruošti, kad Rusija paklaus – ar Lietuva tikrai verta branduolinio karo	2024.01.09	https://www.lrt.lt/naujienos/pasaulyje/6/2165901/hodgesas-turime-pasiruosti-kad-rusija-paklaus-ar-lietuva-tikrai-verta-branduolinio-karo	1865
LRT_UKR_011	Karas Ukrainoje	Į išlaisvintą Iziumą pamažu grįžta gyvenimas, tačiau pergalės viltys – santūrios	2024.01.08	https://www.lrt.lt/naujienos/pasaulyje/6/2165658/i-islaisvinta-iziuma-pamazu-grizta-gyvenimas-taciau-pergales-viltys-santurios	344
LRT_UKR_012	Karas Ukrainoje	Ukrainos fronte žuvo 33-ejų metų poetas Maksymas Kryvcovas	2024.01.08	https://www.lrt.lt/naujienos/kultura/12/2165535/ukrainos-fronte-zuvo-33-eju-metu-poetas-maksymas-kryvcovas	249
