Failas	Tema	Straipsnio_pavadinimas	Vertinamas_teiginys	Publikavimo_data	Nuoroda	Žodžių_skaičius	Paneigė	Paneigimo_nuoroda
UN_SOC_01	Kita	Žiniasklaida: Ispanijos lygybės ministrė atkartoja pedofilų retoriką	Ispanijos lygių galimybių ministrės Irene Montero siūlo leisti vaikams patiems nuspręsti, su kuo turėti lytinių santykių 	2022-10-10	https://www.laikmetis.lt/ziniasklaida-ispanijos-lygybes-ministre-atkartoja-pedofilu-retorika/	411	Patikrinta 15min	https://www.15min.lt/naujiena/aktualu/lietuva/ka-is-tiesu-kalbejo-ministre-kuria-internautai-kaltina-propagavus-pedofilija-56-2114056
UN_POL_01	Politika	Aktorius, vaidinantis Joe Bideno dublerį, pagautas einantis į automobilį be slaptosios tarnybos apsaugos	Ar tikrai amerikiečiams pavyko nufilmuoti Bideno dublerį?	2023-09-20	https://paranormal.lt/news-2023-09-20-6	227	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-amerikieciams-pavyko-nufilmuoti-bideno-dubleri.d?id=94668127
UN_POL_02	Politika	Laurynas Kasčiūnas nusprendė – kariauti eis ir moterys, ir pensininkai	Laurynas Kasčiūnas (Seimo Nacionalinio saugumo ir gynybos komiteto pirmininkas) nusprendė – kariauti eis ir moterys, ir pensininkai 	2023-08-08	https://77.lt/laurynas-kasciunas-nusprende-kariauti-eis-ir-moterys-ir-pensininkai	762	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-kasciunas-kariauti-siuncia-ir-moteris-ir-pensininkus.d?id=94667805
UN_SOC_02	Kita	Billas Clintonas ir popiežius Pranciškus ragina "skubiai mažinti gyventojų skaičių", kad būtų išgelbėta planeta	Billas Clintonas ir popiežius Pranciškus ragina skubiai mažinti gyventojų skaičių, kad būtų išgelbėta planeta	2023-09-24	https://paranormal.lt/news-2023-09-24-7	404	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-billas-clintonas-ir-popiezius-pranciskus-paragino-skubiai-mazinti-gyventoju-skaiciu.d?id=94654207
UN_POL_03	Politika	Bideno šeima pripažįsta, kad jis mirė ir 2019 m. jį pakeitė aktorius	J. Bideno šeima pripažįsta, kad jis mirė 2019 m. ir jį pakeitė aktorius	2023-09-07	https://paranormal.lt/news-2023-09-07-1	480	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-bidenas-mire-pries-ketverius-metus-ir-ji-pakeite-aktorius.d?id=94564725
UN_SVE_01	Sveikata	"5G" yra ginklų sistema, sukurta žmonėms žudyti, sako ginklų ekspertas Markas Steele'a	Žmonės miršta, nes su COVID-19 vakcina įšvirkščiamos neįvardintos nanotechnologijos, tada apšvitinama 5G. 	2023-01-04	https://paranormal.lt/2023-01-04-2	460	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-zmones-masiskai-mirsta-del-covid-19-vakcinose-esanciu-nanotechnologiju-ir-5g.d?id=94536851
UN_COV_01	Covid-19	CDC pripažino, kad 120 tūkst. JAV vaikų "staiga mirė" po Covid Jab diegimo - Žiniasklaidos užtemimas	Ar tiesa, kad JAV nuo COVID-19 vakcinos mirė 120 tūkst. vaikų?	2023-08-12	https://paranormal.lt/news-2023-08-12-1	815	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-jav-nuo-covid-19-vakcinos-mire-120-tukst-vaiku.d?id=94284835
UN_UKR_01	Karas Ukrainoje	Socialiniai tinklai „ūžia“: skelbiama, kad Lenkijos valdžia skuba įsitraukti į karą	Lenkija ketina įstraukti į karą Ukrainoje ir užgrobti vakarines Ukrainos žemes	2023-08-01	https://77.lt/socialiniai-tinklai-uzia-skelbiama-kad-lenkijos-valdzia-skuba-isitraukti-i-kara	1002	Patikrinta 15min	https://www.15min.lt/naujiena/aktualu/pasaulis/lenkijos-kariai-nesiruosia-i-ukraina-tai-yra-rusijos-propagandos-sukurtas-melas-57-1679310
UN_SVE_02	Sveikata	Seimas jus privalomai rašo į organų donorus – kur atsisakyti?	Nuo liepos 1 dienos įsigaliojus naujam žmogaus audinių, ląstelių, organų donorystės ir transplantacijos įstatymo pakeitimams, nebus galima atsisakyti dalyvauti donorystėje, o tėvai negalės atstovauti savo nepilnamečių vaikų	2023-06-21	https://www.komentaras.lt/laisvalaikis/sveikata/seimas-jus-privalomai-irase-i-organu-donorus-kur-atsisakyti/129028/	1319	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-po-mirties-visi-lietuvos-gyventojai-taps-donorais.d?id=93859715
UN_COV_02	Covid-19	Tiesos gynimas: Chloro dioksido tirpalas - svarbi priemonė kovojant su nauja "pandemija" ir vakcinų žala	Chloro dioksido tirpalas (CDS) yra svarbi priemonė kovojant su naująja (koronaviruso – RED.) pandemija ir COVID-19 vakcinų padaryta žala. <...> CDS padeda gydyti ir kitus negalavimus, pavyzdžiui, diabetą, hipertenziją ir vadinamąjį „ilgąjį COVID“	2023-06-08	https://paranormal.lt/news-2023-06-08-8	516	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-chloro-dioksido-tirpalas-isgydo-net-nuo-sunkiu-ligu.d?id=93771363
UN_UKR_02	Karas Ukrainoje	Kas vyksta prisidengus karinėmis pratybomis Lietuvoje	Lietuva, prisidengdama „Geležinio vilko“ pratybomis, ruošia savo karius ir gydytojus dalyvavimui karinėse operacijose užsienyje	2023-05-24	https://20min.lt/straipsnis/28139/kas-vyksta-prisidengus-karinemis-pratybomis-lietuvoje	339	Patikrinta 15min	https://www.15min.lt/naujiena/aktualu/lietuva/melagienu-kureju-taikinyje-tarptautines-pratybos-ir-lietuvos-paramedikai-56-2059726
UN_SVE_03	Sveikata	Billas Gatesas planuoja žmonijai mikrodozėmis padengti visus vaisius ir daržoves nuo vėžio	Billo Gateso įmonė vaisius ir įkurta įmonė vaisius ir daržoves užkrečia toksiškomis medžiagomis 	2023-05-16	https://paranormal.lt/news-2023-05-16-1	798	Patikrinta 15min	https://www.15min.lt/naujiena/aktualu/lietuva/billa-gatesa-kaltina-nuodijant-vaisius-bet-technologija-nepavojinga-ir-sukurta-ne-jo-56-2057844
UN_UKR_03	Karas Ukrainoje	Radioaktyvus debesis uždengė Lenkijos Liublino vaivadiją ir toliau juda į vakarus? (video)	Radioaktyvus debesis „uždengė Lenkijos Liublino vaivadiją“ ir toliau juda į vakarus 	2023-05-17	https://bukimevieningi.lt/radioaktyvus-debesis-uzdenge-lenkijos-liublino-vaivadija-ir-toliau-juda-i-vakarus-video/	263	Patikrinta 15min	https://www.15min.lt/naujiena/aktualu/lietuva/nauja-melagiena-skelbia-apie-dali-lenkijos-uzdengusi-radioaktyvu-debesi-56-2054842
UN_SVE_04	Sveikata	Edita Esenku: „Ant liemenėlių turėtų būti užrašas „Sukelia krūtų vėžį“	Liemenėlės dėvėjimas kenkia moters sveikatai, sukelia krūties vėžį	2021-08-21	https://etaplius.lt/naujiena/edita-esenku-ant-liemeneliu-turetu-buti-uzrasas-sukelia-krutu-vezi	1157	LRT Faktai	https://www.lrt.lt/naujienos/sveikata/682/2054338/internete-plinta-raginimas-moterims-mesti-lauk-liemeneles-ir-net-kelnaites-gydytojai-skeptiski
UN_APL_01	Aplinkosauga	Sniego mėginių tyrimas šokiruoja: nuodingų medžiagų kiekiai viršija visas normas	Lietuvoje iškritę krituliai viršija švino, sieros, silicio, stroncio, bario, titano, aliuminio normas	2023-06-12	https://77.lt/sniego-meginiu-tyrimas-sokiruoja-nuodingu-medziagu-kiekiai-virsija-visas-normas	1091	LRT Faktai	https://www.lrt.lt/naujienos/lietuvoje/2/2018415/mokslininkai-kirto-panika-del-tarsos-lietuvoje-sejantiems-kelmiskiams-tai-manipuliavimas-ir-visiska-nesamone
UN_UKR_04	Karas Ukrainoje	Rusija sunaikino jau beveik visus Ukrainai skirtus šarvuočius „Bradley“ (N-16 video)	Rusija sunaikino jau beveik visus Ukrainai skirtus šarvuočius „Bradley“ 	2023-06-14	https://bukimevieningi.lt/rusija-sunaikino-jau-beveik-visus-ukrainai-skirtus-sarvuocius-bradley-n-16-video/	177	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-rusija-ukrainoje-jau-sunaikino-beveik-visus-bradley-sarvuocius.d?id=93716191
UN_SVE_05	Sveikata	Lietuva pagal mirštamumą nuo AIDS – pirma Europos Sąjungoje	Lietuva pagal mirštamumą nuo AIDS yra pirmoje vietoje Europos Sąjungoje	2023-05-29	https://77.lt/lietuva-pagal-mirstamuma-nuo-aids-pirma-europos-sajungoje	768	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-lietuva-pagal-mirstamuma-nuo-aids-pirmauja-europos-sajungoje.d?id=93551707
UN_APL_02	Aplinkosauga	Iki 2030 metų žmonijos laukia mažas ledynmetis	Artėja „mažasis ledynmetis“, klimatas ne šiltėja, o šaltėja, bandoma sukelti „klimato isteriją“	2023-08-24	https://ldiena.lt/straipsnis/29108/iki-2030-metu-zmonijos-laukia-mazas-ledynmetis	532	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-arteja-mazasis-ledynmetis.d?id=93273003
UN_APL_03	Aplinkosauga	Mokslininkai: po 15 metų gali prasidėti mažasis ledynmetis	Artėja „mažasis ledynmetis“, klimatas ne šiltėja, o šaltėja, bandoma sukelti „klimato isteriją“	2015-07-14	https://sekunde.lt/leidinys/paneveziobalsas/mokslininkai-po-15-metu-gali-prasideti-mazasis-ledynmetis/	172	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-arteja-mazasis-ledynmetis.d?id=93273003
UN_SVE_06	Sveikata	Druska iki 2030 m. sukels 1 MILIJARDĄ mirčių, teigia PSO	Pasaulio sveikatos organizacija (PSO) įspėjo, kad dėl druskos vartojimo iki 2030 m. mirs daugiau kaip milijardas žmonių	2023-04-28	https://paranormal.lt/naujienos-2023-04-28-2	207	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-del-druskos-vartojimo-iki-2030-metu-mirs-daugiau-nei-milijardas-zmoniu.d?id=93216781
UN_COV_03	Covid-19	Tyrimas patvirtina, kad sukurta geriamoji mRNA "vakcina", gaminama karvės piene	Dabar svarstoma galimybė COVID-19 skiepyti geriamuoju būdu, naudojant karvės piene esančią mRNR	2023-04-12	https://paranormal.lt/naujienos-2023-04-12-6	646	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-sukurta-geriamoji-covid-19-vakcina-kuri-bus-piene.d?id=93212263
UN_COV_04	Covid-19	Odontologai teigia, kad milijonai paskiepytų pacientų netenka dantų	Odontologai teigia, kad milijonai paskiepytų pacientų netenka dantų 	2023-04-24	https://paranormal.lt/naujienos-2023-04-24-6	473	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-po-covid-19-vakcinacijos-zmones-netenka-dantu.d?id=93204219
UN_UKR_05	Karas Ukrainoje	Robertas Kenedis: CŽV kontroliuoja biolaboratorijas Ukrainoje	Remiantis pranešimais, Bideno režimas tyliai ir apgaulingai atnaujino savo biolaboratorijų programą Ukrainoje ir daugiausia dėmesio skiria visiškai slaptų naujų objektų statybai ir personalo mokymui, tvirtino Rusijos gynybos ministerija	2023-08-15	https://www.sarmatas.lt/08/robertas-kenedis-czv-kontroliuoja-biolaboratorijas-ukrainoje/	310	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-jav-ukrainoje-slapta-stato-biolaboratorijas.d?id=93189855
UN_UKR_06	Karas Ukrainoje	JAV pripažįsta, kad Ukrainoje veikė 46 biologinės laboratorijos: "sąmokslo teorijų šalininkai" dar kartą įrodė, kad buvo teisūs 	Remiantis pranešimais, Bideno režimas tyliai ir apgaulingai atnaujino savo biolaboratorijų programą Ukrainoje ir daugiausia dėmesio skiria visiškai slaptų naujų objektų statybai ir personalo mokymui, tvirtino Rusijos gynybos ministerija	2022-06-10	https://paranormal.lt/2022-06-10-2	605	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-jav-ukrainoje-slapta-stato-biolaboratorijas.d?id=93189855
UN_UKR_07	Karas Ukrainoje	Mokslininkai reikalauja sustabdyti siaubingų virusų tyrimus | Biolaboratorijos Ukrainoje	Remiantis pranešimais, Bideno režimas tyliai ir apgaulingai atnaujino savo biolaboratorijų programą Ukrainoje ir daugiausia dėmesio skiria visiškai slaptų naujų objektų statybai ir personalo mokymui, tvirtino Rusijos gynybos ministerija	2022-04-06	https://musutv.lt/2022/04/06/mokslininkai-reikalauja-sustabdyti-siaubingu-virusu-tyrimus-biolaboratorijos-ukrainoje/	566	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-jav-ukrainoje-slapta-stato-biolaboratorijas.d?id=93189855
UN_UKR_08	Karas Ukrainoje	JAV biolaboratorijos Ukrainoje	Remiantis pranešimais, Bideno režimas tyliai ir apgaulingai atnaujino savo biolaboratorijų programą Ukrainoje ir daugiausia dėmesio skiria visiškai slaptų naujų objektų statybai ir personalo mokymui, tvirtino Rusijos gynybos ministerija	2022-09-14	https://3min.lt/straipsnis/24942/jav-biolaboratorijos-ukrainoje	366	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-jav-ukrainoje-slapta-stato-biolaboratorijas.d?id=93189855
UN_UKR_09	Karas Ukrainoje	Kinija mano, kad Rusijos rezoliucijos dėl JAV biologinių laboratorijų Ukrainoje blokuoti negalima	Remiantis pranešimais, Bideno režimas tyliai ir apgaulingai atnaujino savo biolaboratorijų programą Ukrainoje ir daugiausia dėmesio skiria visiškai slaptų naujų objektų statybai ir personalo mokymui, tvirtino Rusijos gynybos ministerija	2022-11-03	https://bukimevieningi.lt/kinija-mano-kad-rusijos-rezoliucijos-del-jav-biologiniu-laboratoriju-ukrainoje-blokuoti-negalima/	133	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tiesa-kad-jav-ukrainoje-slapta-stato-biolaboratorijas.d?id=93189855
UN_SOC_03	Kita	Kanada ketina eutanazuoti vaikus be tėvų sutikimo 	Kanada ketina eutanazuoti vaikus be tėvų sutikimo. Kanados vyriausybė pasiūlė daugybę šalies įstatymų dėl „savižudybės su pagalba“ pataisų, leidžiančių vyriausybei eutanazuoti nepilnamečius be tėvų sutikimo 	2023-04-01	https://paranormal.lt/kanada-pradeda-eutanazuoti-vaikus-be-tevu-sutikimo	462	Delfi Melo detektorius	https://www.delfi.lt/news/melo-detektorius/melas/ar-tikrai-kanadoje-ketinama-eutanazuoti-vaikus-be-tevu-sutikimo.d?id=93176795
